,0
2499,6947
2500,4685
2501,2250
2502,4702
2503,11870
2504,3725
2505,2260
2506,6182
2507,8436
2508,13919
2509,10473
2510,9228
2511,12184
2512,5445
2513,14651
2514,3639
2515,7893
2516,13052
2517,4950
2518,6327
2519,14415
2520,5984
2521,12451
2522,3871
2523,10036
2524,13742
2525,6797
2526,2268
2527,14350
2528,4306
2529,12088
2530,9925
2531,18354
2532,3097
2533,13583
2534,5255
2535,5841
2536,10849
2537,11986
2538,8481
2539,4732
2540,14783
2541,6636
2542,6441
2543,4166
2544,3560
2545,10871
2546,5527
2547,10220
2548,3600
2549,12451
2550,5609
2551,5108
2552,5661
2553,11449
2554,3687
2555,3137
2556,10098
2557,4581
2558,7836
2559,2106
2560,10476
2561,11785
2562,10271
2563,7583
2564,16765
2565,5461
2566,4813
2567,3108
2568,13839
2569,20769
2570,3139
2571,8430
2572,4418
2573,8855
2574,15658
2575,11780
2576,4470
2577,12466
2578,15221
2579,6048
2580,4904
2581,28118
2582,11869
2583,7472
2584,4401
2585,15877
2586,13812
2587,7860
2588,5166
2589,13009
2590,4869
2591,6441
2592,12820
2593,13187
2594,13154
2595,3864
2596,5837
2597,3919
2598,12094
2599,7686
2600,7596
2601,6652
2602,14435
2603,7533
2604,8775
2605,6738
2606,10856
2607,16469
2608,5086
2609,1991
2610,3592
2611,7573
2612,16277
2613,3880
2614,4017
2615,19949
2616,3687
2617,7351
2618,13717
2619,8949
2620,11340
2621,5911
2622,6620
2623,5680
2624,3877
2625,5836
2626,6866
2627,16234
2628,7256
2629,4808
2630,7317
2631,13441
2632,4770
2633,4915
2634,6385
2635,10911
2636,29098
2637,5747
2638,9736
2639,10175
2640,3979
2641,13797
2642,12889
2643,11275
2644,11182
2645,12971
2646,15873
2647,13045
2648,6038
2649,3464
2650,11983
2651,13577
2652,11996
2653,12891
2654,14829
2655,6881
2656,12255
2657,8072
2658,10450
2659,13892
2660,8315
2661,9071
2662,3222
2663,6636
2664,6834
2665,1988
2666,10224
2667,4678
2668,14775
2669,14957
2670,7534
